Year,Geography,Occupation,Value
2013,Eastern region,    Agriculture And Horticulture Workers,12.82
2014,Eastern region,    Agriculture And Horticulture Workers,14.03
2015,Eastern region,    Agriculture And Horticulture Workers,14.21
2013,Eastern region,    Primary Production Labourers,15.14
2014,Eastern region,    Primary Production Labourers,14.85
2015,Eastern region,    Primary Production Labourers,15.45
2013,Eastern region,"    Supervisors, Processing Occupations",29.86
2014,Eastern region,"    Supervisors, Processing Occupations",29.07
2015,Eastern region,"    Supervisors, Processing Occupations",27.01
2014,Eastern region,"    Supervisors, Assembly And Fabrication",28.49
2015,Eastern region,"    Supervisors, Assembly And Fabrication",25.09
2013,Eastern region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",19.65
2014,Eastern region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",22.95
2015,Eastern region,"    Machine Operators And Related Workers In Chemical, Plastic And Rubber Processing",23.23
2014,Eastern region,    Machine Operators And Related Workers In Pulp And Paper Production And Wood Processing,19.86
2013,Eastern region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",19.01
2014,Eastern region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",20.53
2015,Eastern region,"    Machine Operators And Related Workers In Food, Beverage And Tobacco Processing",20.74
2013,Eastern region,"    Machining, Metalworking, Woodworking And Related Machine Operators",18.96
2014,Eastern region,"    Machining, Metalworking, Woodworking And Related Machine Operators",18.68
2015,Eastern region,"    Machining, Metalworking, Woodworking And Related Machine Operators",19.55
2013,Eastern region,"    Mechanical, Electrical And Electronics Assemblers",19.47
2014,Eastern region,"    Mechanical, Electrical And Electronics Assemblers",20.79
2015,Eastern region,"    Mechanical, Electrical And Electronics Assemblers",20.79
2013,Eastern region,    Other Assembly And Related Occupations,17.36
2014,Eastern region,    Other Assembly And Related Occupations,19.93
2015,Eastern region,    Other Assembly And Related Occupations,16.83
2013,Eastern region,"    Labourers In Processing, Manufacturing And Utilities",15.32
2014,Eastern region,"    Labourers In Processing, Manufacturing And Utilities",15.82
2015,Eastern region,"    Labourers In Processing, Manufacturing And Utilities",19.18
2013,Central region,Management occupations,40.87
2014,Central region,Management occupations,42.27
2015,Central region,Management occupations,43.32
2013,Central region,   Senior management occupations,52.51
2014,Central region,   Senior management occupations,50.92
2015,Central region,   Senior management occupations,53.55
2013,Central region,   Other management occupations,39.92
2014,Central region,   Other management occupations,41.65
2015,Central region,   Other management occupations,42.74
2013,Central region,"Business, finance and administrative occupations",23.74
2014,Central region,"Business, finance and administrative occupations",24.25
2015,Central region,"Business, finance and administrative occupations",25.39
2013,Central region,   Professional occupations in business and finance,35.53
2014,Central region,   Professional occupations in business and finance,35.18
2015,Central region,   Professional occupations in business and finance,36.49
2013,Central region,"   Financial, secretarial and administrative occupations",23.9
2014,Central region,"   Financial, secretarial and administrative occupations",24.68
2015,Central region,"   Financial, secretarial and administrative occupations",24.71
2013,Central region,"   Clerical occupations, including supervisors",19.8
2014,Central region,"   Clerical occupations, including supervisors",20.08
2015,Central region,"   Clerical occupations, including supervisors",20.84
2013,Central region,Natural and applied sciences and related occupations,34.11
2014,Central region,Natural and applied sciences and related occupations,34.49
2015,Central region,Natural and applied sciences and related occupations,35.96
2013,Central region,Health occupations,28.53
2014,Central region,Health occupations,28.77
2015,Central region,Health occupations,29
2013,Central region,"   Professional occupations in health, nurse supervisors and registered nurses",35.66
2014,Central region,"   Professional occupations in health, nurse supervisors and registered nurses",36.8
2015,Central region,"   Professional occupations in health, nurse supervisors and registered nurses",35.05
2013,Central region,"   Technical, assisting and related occupations in health",22.93
2014,Central region,"   Technical, assisting and related occupations in health",22.68
2015,Central region,"   Technical, assisting and related occupations in health",24.06
2013,Central region,"Occupations in social science, education, government service and religion",32.51
2014,Central region,"Occupations in social science, education, government service and religion",32.59
2015,Central region,"Occupations in social science, education, government service and religion",32.79
2013,Central region,"   Occupations in social science, government service and religion",28.84
2014,Central region,"   Occupations in social science, government service and religion",29.28
2015,Central region,"   Occupations in social science, government service and religion",29.55
2013,Central region,   Teachers and professors,36.65
2014,Central region,   Teachers and professors,36.08
2015,Central region,   Teachers and professors,36.44
2013,Central region,"Occupations in art, culture, recreation and sport",25.68
2014,Central region,"Occupations in art, culture, recreation and sport",25
2015,Central region,"Occupations in art, culture, recreation and sport",26.42
2013,Central region,Sales and service occupations,16.28
2014,Central region,Sales and service occupations,16.39
2015,Central region,Sales and service occupations,17.48
2013,Central region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",25.87
2014,Central region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",25.3
2015,Central region,"   Wholesale, technical, insurance, real estate sales specialists, and retail, wholesale and grain buyers",28.04
2013,Central region,"   Retail salespersons, sales clerks, cashiers, including retail trade supervisors",13.59
